89,90
64,90
31,90
59,90
66,90
65,90
1,90
67,89
64,89
62,89
31,89
61,89
12,89
59,89
23,89
66,89
65,89
1,89
26,89
30,89
57,89
73,88
43,88
16,88
45,88
15,88
78,87
82,87
84,86
34,86
85,86
84,85
34,84
45,83
15,83
42,83
14,83
76,82
76,81
74,81
11,81
80,81
76,80
74,80
11,80
79,80
39,80
21,80
38,80
36,80
76,79
11,79
39,79
21,79
38,79
10,79
36,79
9,79
76,78
77,78
76,77
74,76
39,76
21,76
36,76
9,76
75,76
74,75
11,74
39,74
21,74
9,74
16,73
15,73
19,73
1,72
71,72
70,72
69,72
68,72
1,71
70,71
69,71
68,71
1,70
69,70
68,70
1,69
68,69
1,68
64,67
62,67
31,67
61,67
12,67
23,67
66,67
1,67
26,67
30,67
57,67
63,67
60,67
64,66
62,66
31,66
12,66
59,66
65,66
1,66
26,66
30,66
57,66
60,66
31,65
12,65
1,65
26,65
30,65
60,65
62,64
31,64
61,64
12,64
59,64
23,64
1,64
26,64
30,64
57,64
63,64
60,64
58,64
62,63
31,63
61,63
12,63
23,63
1,63
26,63
30,63
57,63
60,63
58,63
31,62
61,62
12,62
59,62
23,62
1,62
26,62
30,62
57,62
60,62
58,62
31,61
12,61
23,61
1,61
26,61
30,61
57,61
60,61
58,61
31,60
12,60
59,60
23,60
1,60
26,60
30,60
57,60
58,60
31,59
1,59
30,59
57,59
58,59
31,58
12,58
23,58
1,58
26,58
30,58
57,58
31,57
12,57
23,57
1,57
26,57
30,57
52,56
55,56
52,55
52,54
52,53
50,51
49,51
48,51
47,51
46,51
49,50
48,50
47,50
46,50
48,49
47,49
46,49
47,48
46,48
46,47
43,45
16,45
14,45
41,45
44,45
41,44
43,44
16,44
23,44
15,44
40,44
16,43
15,43
40,43
1,42
40,42
16,41
19,41
17,41
12,40
17,40
11,39
21,39
38,39
10,39
9,39
37,39
21,38
10,38
9,38
37,38
11,37
21,37
10,37
36,37
11,36
21,36
34,35
33,35
33,34
32,33
12,31
23,31
1,31
26,31
30,31
5,31
12,30
23,30
1,30
26,30
5,30
27,29
28,29
27,28
12,26
23,26
1,26
5,26
25,26
12,25
23,25
1,25
5,25
24,25
22,25
12,24
23,24
1,24
5,24
22,24
12,23
1,23
5,23
22,23
12,22
1,22
5,22
11,21
10,21
9,21
20,21
11,20
9,20
16,19
17,19
18,19
16,18
17,18
16,17
15,17
1,16
15,16
14,16
13,16
13,15
13,14
1,12
5,12
9,11
8,11
8,10
8,9
6,7
1,5
4,5
3,4
1,4
2,4
1,3
2,3
1,2
